Basin,Amin_Type,Station,Num_Data_Points,Loc_Param,Scale_Param,Shape_Param,Rate_Param,Threshold_Param,MeanLog_Param,SdLog_Param,Zeta_Param,Alpha_Param,Kappa_Param,RP_1.11_yr,RP_2_yr,RP_5_yr,RP_10_yr,RP_20_yr,RP_25_yr,RP_50_yr,RP_100_yr
SG MUAR,amin_90Q,0320851SF,15,-5.35,5.168,-1.065,NA,NA,NA,NA,NA,NA,NA,12,4,1,1,1,1,1,1
SG MUDA,amin_90Q,0050011SF,64,NA,NA,NA,NA,NA,3.249,NA,3.253,NA,NA,64,29,18,14,12,11,10,9
SG MUDA,amin_90Q,0050181SF,61,NA,NA,NA,NA,NA,2.209,0.933,NA,NA,NA,30,9,4,3,2,2,1,1
SG MUDA,amin_90Q,0050301SF,38,NA,NA,NA,NA,NA,2.218,0.56,NA,NA,NA,19,9,6,4,4,3,3,2
SG PAHANG,amin_90Q,0550801SF,62,NA,NA,NA,NA,NA,1.736,NA,-3.484,NA,NA,5,2,1,0,0,0,-1,-1
SG PAHANG,amin_90Q,0550811SF,62,NA,NA,NA,NA,NA,2.715,NA,-8.854,NA,NA,11,6,4,3,2,1,1,0
SG PAHANG,amin_90Q,0550981SF,58,NA,NA,NA,NA,NA,5.491,NA,-5.284,NA,NA,410,237,165,137,117,111,98,86
SG PAHANG,amin_90Q,0551071SF,60,NA,NA,NA,NA,NA,3.208,NA,1.821,NA,NA,84,27,13,9,7,7,5,5
SG PAHANG,amin_90Q,0551111SF,55,NA,NA,NA,NA,NA,2.456,NA,-7.653,NA,NA,7,4,2,2,1,1,1,0
SG PAHANG,amin_90Q,0551251SF,51,NA,NA,NA,NA,NA,3.03,NA,-16.02,NA,NA,10,5,2,1,0,-1,-1,-2
SG PERAI,amin_90Q,0060111SF,62,NA,NA,2.821,0.902,NA,NA,NA,NA,NA,NA,6,3,2,1,1,1,1,0
SG PERAK,amin_90Q,0180691SF,17,NA,NA,NA,NA,NA,2.935,NA,-15.869,NA,NA,4,3,2,2,2,1,1,1
SG PERAK,amin_90Q,0180721SF,57,NA,NA,NA,NA,NA,3.147,0.829,NA,NA,NA,68,23,12,8,6,5,4,3
SG PERAK,amin_90Q,0180761SF,57,NA,NA,NA,NA,NA,1.347,NA,-1.014,NA,NA,6,3,2,1,1,1,0,0
SG PERAK,amin_90Q,0180771SF,60,NA,NA,NA,NA,NA,2.469,NA,-7.75,NA,NA,8,4,2,1,0,0,0,-1
SG PERAK,amin_90Q,0180781SF,65,NA,NA,NA,NA,NA,4.898,0.402,NA,NA,NA,225,134,96,80,69,66,59,53
SG PERAK,amin_90Q,0180791SF,57,NA,NA,5.746,0.295,NA,NA,NA,NA,NA,NA,30,18,13,10,8,8,7,6
SG PERAK,amin_90Q,0180821SF,64,NA,NA,NA,NA,NA,2.482,NA,-4.672,NA,NA,18,7,3,2,1,0,0,-1
SG PERAK,amin_90Q,0180961SF,54,NA,NA,NA,NA,NA,1.747,NA,-1.782,NA,NA,9,4,2,1,1,1,0,0
SG PERAK,amin_90Q,0181051SF,47,NA,NA,NA,NA,NA,4.498,NA,-44.191,NA,NA,73,46,31,25,20,18,15,11
SG PERAK,amin_90Q,0181111SF,43,NA,NA,NA,NA,NA,2.377,NA,-5.82,NA,NA,10,5,3,2,1,1,0,0
SG PERLIS,amin_90Q,0010311SF,37,NA,NA,NA,NA,NA,-1.92,NA,0.065,NA,NA,1,0,0,0,0,0,0,0
SG PERLIS,amin_90Q,0010381SF,23,NA,NA,NA,NA,NA,-0.767,0.988,NA,NA,NA,2,0,0,0,0,0,0,0
SG SADONG,amin_90Q,1004438,28,NA,NA,NA,NA,NA,1.601,NA,5.372,NA,NA,20,10,8,7,7,6,6,6
SG SADONG,amin_90Q,1005447,13,NA,NA,NA,NA,NA,1.833,NA,1.565,NA,NA,16,8,5,4,4,4,3,3
SG SADONG,amin_90Q,1108401,27,NA,NA,1.427,0.453,NA,NA,NA,NA,NA,NA,7,2,1,1,0,0,0,0
SG SADONG,amin_90Q,1790191SF,33,NA,NA,1.144,0.267,NA,NA,NA,NA,NA,NA,10,3,1,1,0,0,0,0
SG SADONG,amin_90Q,1790201SF,35,NA,NA,NA,NA,NA,2.499,NA,-1.002,NA,NA,14,11,9,9,8,8,7,7
SG SADONG,amin_90Q,1790241SF,34,NA,NA,NA,NA,NA,1.659,NA,4.782,NA,NA,13,10,9,8,8,7,7,7
SG SEDELI BESAR,amin_90Q,0470181SF,19,NA,NA,NA,NA,NA,1.613,NA,-2.156,NA,NA,5,3,2,1,1,1,1,0
SG SELANGOR,amin_90Q,0210241SF,65,-31.975,9.814,-0.307,NA,NA,NA,NA,NA,NA,NA,41,29,20,16,13,12,10,8
SG SELANGOR,amin_90Q,0210341SF,15,-7.231,1.438,0,NA,NA,NA,NA,NA,NA,NA,8,7,5,4,3,3,2,1
SG SELANGOR,amin_90Q,0210631SF,11,-25.086,6.283,0,NA,NA,NA,NA,NA,NA,NA,30,23,16,11,6,5,1,-4
SG TERENGGANU,amin_90Q,0670151SF,59,NA,NA,3.926,0.03,NA,NA,NA,NA,NA,NA,218,119,74,56,44,41,32,26
SG TERENGGANU,amin_90Q,0670271SF,42,NA,NA,NA,NA,NA,3.858,NA,-33.281,NA,NA,21,14,10,8,7,6,5,4
SG TERENGGANU,amin_90Q,0670311SF,19,NA,NA,NA,NA,NA,0.959,NA,2.309,NA,NA,7,5,4,4,4,4,3,3
SG. BESUT,amin_90Q,0700071SF,44,-9.307,9.967,-1.144,NA,NA,NA,NA,NA,NA,NA,23,6,2,1,1,1,1,1
